question_id,question,correct_answer,devstral,nemotron-nano,mistral-675b,ministral-14b,gemma-3-27b-it,gemma-3-4B-T1-it,gemma-3-4b-it,phi-4,gemma-3-taide-12b-chat,llama-3.2-3B-f1-instruct,gpt-oss-20b-mandarin-thinking,gpt-oss-120b-mandarin-thinking,Llama-3.1-Taiwan-8B-Instruct,Llama-3-Taiwan-70B-Instruct,Llama-Breeze2-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Llama-3.3-70B-Instruct,Gemma-3-12b-it
0,"人類為追求經濟的發展，不斷地向大自然予取予求，近年來大自然的反撲已造成許多的災難，嚴重危害到人民的生命財產，這是因為與何種理念漸行漸遠所導致的結果？
A: 永續發展
B: 社會福利
C: 產業升級
D: 國營事業民營化。",A,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1,"資本主義的主要弊害是什麼？
A: 自由貿易
B: 個人主義
C: 貧富不均
D: 市場機制",C,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2,"國父終生的願望，民族主義實踐的最後理想是：
A: 國家與國家的衝突
B: 種族歧視
C: 民族同化。
D: 世界大同",D,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
3,"臺灣於民國 38 年所實施的三七五減租，就是國父當年所主張的何種政策？
A: 授田
B: 保障農民權益
C: 限田
D: 貸田",B,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,"國父說：「人類要生存必須有兩件大事」，那是指哪兩件？
A: 管和教
B: 教和養
C: 保和養
D: 管和養",C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,"國父認為：「在一個團體中能夠活動，來往自如」，這是對何者的解釋？
A: 法治。
B: 自由
C: 平等
D: 博愛",B,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6,"複合民族國家欲增進群體意識，泯除彼此界線，下列何者最有效而較少後遺症？
A: 實踐民族平等
B: 統一語言文字
C: 激發敵愾同仇心理
D: 強化宗族鄉社組織",A,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
7,"臺灣地區漲價歸公的收入，移作何種費用？
A: 地方行政
B: 救濟貧困國家。
C: 公共福利事業基金
D: 國防經費",C,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
8,"國父對國家的起源，主張何種理論？
A: 道德說
B: 神權說
C: 武力說
D: 契約說",C,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
9,"主張物競天擇優勝劣敗的進化理論者是：
A: 俾斯麥
B: 亨利．佐治。
C: 沙德
D: 達爾文",D,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10,"民生主義的經濟制度是屬於下列何者？
A: 自由經濟
B: 計畫性的自由經濟
C: 計畫經濟
D: 自由性的計畫經濟",B,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
